update,transitions,mean_reward,mean_length,loss,policy_loss,value_loss,entropy,gradient_norm,fruit_rate,wall_rate,self_bite_rate,win_rate
1,1024,-0.012597656808793545,1.078125,0.0005980310961604118,-5.0090253353118896e-05,0.029022112488746643,1.3862935304641724,0.25758424401283264,0.013671875,0.1767578125,0.0087890625,0.0
2,2048,-0.008496093563735485,1.171875,-0.0003373716026544571,-0.000472385436296463,0.02799559012055397,1.3862781524658203,0.18045391142368317,0.0234375,0.1728515625,0.0146484375,0.0
3,3072,-0.01406249962747097,1.078125,-0.006717116571962833,-0.0002847239375114441,0.014860190451145172,1.3862488269805908,0.09369940310716629,0.0166015625,0.1826171875,0.0205078125,0.0
4,4096,-0.0185546875,1.015625,-0.009075348265469074,-0.0013889111578464508,0.01235177181661129,1.3862323760986328,0.1067667081952095,0.009765625,0.20703125,0.013671875,0.0
5,5120,-0.01630859449505806,1.046875,-0.008516589179635048,-0.0019155777990818024,0.014522457495331764,1.3862240314483643,0.1466684639453888,0.013671875,0.2080078125,0.01171875,0.0
6,6144,-0.01455078087747097,1.0625,-0.008342894725501537,-0.002086794003844261,0.01521194539964199,1.3862073421478271,0.1399277299642563,0.0126953125,0.1875,0.0107421875,0.0
7,7168,-0.012109375558793545,1.109375,-0.005992666818201542,-0.0024486854672431946,0.020635873079299927,1.3861918449401855,0.13168512284755707,0.0234375,0.205078125,0.0166015625,0.0
8,8192,-0.011523437686264515,1.0625,-0.008885896764695644,-0.0030082613229751587,0.015968356281518936,1.386181354522705,0.09571307897567749,0.01953125,0.17578125,0.0185546875,0.0
9,9216,-0.01396484300494194,1.046875,-0.009491011500358582,-0.0028576646000146866,0.014456765726208687,1.3861730098724365,0.13018524646759033,0.0185546875,0.1953125,0.0185546875,0.0
10,10240,-0.01386718824505806,1.171875,-0.008769660256803036,-0.0030177049338817596,0.016218848526477814,1.3861379623413086,0.09205811470746994,0.0185546875,0.2119140625,0.009765625,0.0
11,11264,-0.013378906063735485,1.046875,-0.011786798015236855,-0.005186498165130615,0.014521364122629166,1.3860982656478882,0.0798179879784584,0.021484375,0.1884765625,0.0263671875,0.0
12,12288,-0.01181640662252903,1.09375,-0.013149823062121868,-0.004882326349616051,0.011186322197318077,1.3860658407211304,0.08314929902553558,0.0166015625,0.17578125,0.0126953125,0.0
13,13312,-0.01611328125,1.09375,-0.012590708211064339,-0.006070410832762718,0.014679758809506893,1.3860177993774414,0.11587276309728622,0.017578125,0.2158203125,0.0166015625,0.0
14,14336,-0.01308593712747097,1.03125,-0.014126606285572052,-0.005839966237545013,0.011146703734993935,1.3859992027282715,0.09692519903182983,0.017578125,0.177734375,0.0205078125,0.0
15,15360,-0.01230468787252903,1.0625,-0.014437196776270866,-0.006775957532227039,0.0123966746032238,1.3859577178955078,0.10642162710428238,0.0126953125,0.1650390625,0.0107421875,0.0
16,16384,-0.013476562686264515,1.109375,-0.014992136508226395,-0.008489742875099182,0.014712556265294552,1.3858671188354492,0.1219993382692337,0.0205078125,0.2021484375,0.017578125,0.0
17,17408,-0.01923828199505806,1.0,-0.020285092294216156,-0.01128099113702774,0.009706715121865273,1.3857460021972656,0.13170374929904938,0.01171875,0.2177734375,0.0166015625,0.0
18,18432,-0.010449218563735485,1.09375,-0.016474802047014236,-0.009109290316700935,0.012983117252588272,1.385707139968872,0.09315469861030579,0.01953125,0.1748046875,0.013671875,0.0
19,19456,-0.013671875931322575,1.078125,-0.01890525221824646,-0.010989196598529816,0.011879615485668182,1.3855862617492676,0.10078465938568115,0.017578125,0.1875,0.0185546875,0.0
20,20480,-0.010937499813735485,1.0,-0.019475815817713737,-0.010842056944966316,0.010441994294524193,1.3854756355285645,0.11545992642641068,0.013671875,0.146484375,0.015625,0.0
21,21504,-0.01191406324505806,1.03125,-0.020513858646154404,-0.012229256331920624,0.011135997250676155,1.3852602243423462,0.10703542083501816,0.0166015625,0.1767578125,0.0126953125,0.0
22,22528,-0.01220703125,1.046875,-0.02032380923628807,-0.01396593451499939,0.014984624460339546,1.3850185871124268,0.1307370364665985,0.0205078125,0.1875,0.0185546875,0.0
23,23552,-0.01083984412252903,1.03125,-0.02486703172326088,-0.01581360213458538,0.009589113295078278,1.3847987651824951,0.09585287421941757,0.0166015625,0.158203125,0.0166015625,0.0
24,24576,-0.0107421875,1.046875,-0.02220209687948227,-0.013723760843276978,0.010733110830187798,1.3844892978668213,0.12719671428203583,0.015625,0.158203125,0.013671875,0.0
25,25600,-0.013183594681322575,1.015625,-0.028764478862285614,-0.019965074956417084,0.010086084716022015,1.384244680404663,0.1445285528898239,0.0146484375,0.17578125,0.0146484375,0.0
26,26624,-0.012011718936264515,1.0625,-0.025808824226260185,-0.018832683563232422,0.01372598297894001,1.383913278579712,0.12217888236045837,0.0185546875,0.185546875,0.013671875,0.0
27,27648,-0.01142578199505806,1.078125,-0.027291659265756607,-0.020249132066965103,0.013584502041339874,1.3834779262542725,0.12952518463134766,0.017578125,0.1708984375,0.015625,0.0
28,28672,-0.009667969308793545,1.078125,-0.029379460960626602,-0.021579256281256676,0.012060284614562988,1.3830347061157227,0.13090381026268005,0.017578125,0.1552734375,0.0146484375,0.0
29,29696,-0.004589843563735485,1.109375,-0.02605857141315937,-0.019618220627307892,0.014769289642572403,1.3824995756149292,0.11341097205877304,0.0263671875,0.134765625,0.021484375,0.0
30,30720,-0.01201171800494194,1.015625,-0.042150869965553284,-0.03287074714899063,0.009074792265892029,1.3817520141601562,0.15398910641670227,0.0166015625,0.16015625,0.021484375,0.0
31,31744,-0.006054687779396772,1.078125,-0.03414575755596161,-0.025703951716423035,0.010728821158409119,1.3806215524673462,0.11616312712430954,0.0166015625,0.1181640625,0.0126953125,0.0
32,32768,-0.00830078125,1.078125,-0.04016728326678276,-0.031574130058288574,0.010405431501567364,1.379586935043335,0.13662752509117126,0.021484375,0.1494140625,0.0205078125,0.0
33,33792,-0.007617187686264515,1.09375,-0.040897436439991,-0.0322263240814209,0.010230207815766335,1.3786216974258423,0.13732798397541046,0.0234375,0.15234375,0.0205078125,0.0
34,34816,-0.007128906436264515,1.046875,-0.04239334538578987,-0.03424268960952759,0.01125725731253624,1.3779284954071045,0.14876045286655426,0.0185546875,0.125,0.01953125,0.0
35,35840,-0.009960937313735485,1.0625,-0.051820602267980576,-0.042841363698244095,0.00957548525184393,1.3766982555389404,0.1796671450138092,0.013671875,0.146484375,0.0107421875,0.0
36,36864,-0.006542968563735485,1.125,-0.051809683442115784,-0.04329778999090195,0.010462475940585136,1.3743131160736084,0.17729024589061737,0.0185546875,0.1328125,0.0126953125,0.0
37,37888,-0.003027343889698386,1.09375,-0.034497328102588654,-0.028581693768501282,0.015618030913174152,1.3724650144577026,0.14658436179161072,0.0263671875,0.109375,0.0263671875,0.0
38,38912,-0.00927734375,1.03125,-0.06621918082237244,-0.0563061460852623,0.007567589171230793,1.369683027267456,0.20178751647472382,0.0078125,0.1123046875,0.009765625,0.0
39,39936,-0.004785156808793545,1.0625,-0.052019089460372925,-0.042910076677799225,0.009130503982305527,1.3674267530441284,0.1510886400938034,0.015625,0.1005859375,0.0126953125,0.0
40,40960,-0.006835937965661287,1.03125,-0.07299811393022537,-0.06274788826704025,0.006796638481318951,1.3648546934127808,0.21978001296520233,0.0146484375,0.1083984375,0.0166015625,0.0
41,41984,-0.00537109375,1.125,-0.060823410749435425,-0.051929544657468796,0.009436189197003841,1.3611960411071777,0.19610999524593353,0.0126953125,0.103515625,0.0068359375,0.0
42,43008,-0.00341796875,1.0625,-0.06440021842718124,-0.05584239959716797,0.010041981935501099,1.3578813076019287,0.16842053830623627,0.0166015625,0.083984375,0.0166015625,0.0
43,44032,-0.0008789063431322575,1.109375,-0.052727580070495605,-0.043436117470264435,0.008499568328261375,1.3541250228881836,0.129469633102417,0.0185546875,0.07421875,0.013671875,0.0
44,45056,0.0015624999068677425,1.046875,-0.05108894407749176,-0.04381982237100601,0.012449406087398529,1.3493825197219849,0.14509707689285278,0.0263671875,0.0615234375,0.02734375,0.0
45,46080,-0.0013671878259629011,1.078125,-0.06774699687957764,-0.058135002851486206,0.007662724703550339,1.3443360328674316,0.18365241587162018,0.017578125,0.0703125,0.015625,0.0
46,47104,-0.004589844029396772,1.0625,-0.0720445066690445,-0.062255531549453735,0.007204192690551281,1.3391070365905762,0.256693959236145,0.009765625,0.0732421875,0.0107421875,0.0
47,48128,-0.0015624999068677425,1.09375,-0.07070697844028473,-0.06159712374210358,0.008419988676905632,1.3319852352142334,0.15215283632278442,0.0185546875,0.0771484375,0.015625,0.0
48,49152,-0.004687499720603228,1.046875,-0.08184114843606949,-0.07120963931083679,0.00527033768594265,1.3266677856445312,0.22138653695583344,0.009765625,0.0703125,0.0126953125,0.0
49,50176,-0.004101562779396772,1.015625,-0.0909937247633934,-0.08006533235311508,0.004506920464336872,1.3181853294372559,0.22702333331108093,0.0087890625,0.0634765625,0.0107421875,0.0
50,51200,0.0020507811568677425,1.0625,-0.04389558732509613,-0.035184089094400406,0.0088269067928195,1.312495231628418,0.19203846156597137,0.0185546875,0.041015625,0.015625,0.0
51,52224,-0.0014648438664153218,1.015625,-0.09063109755516052,-0.07961428165435791,0.0040359944105148315,1.3034813404083252,0.17839780449867249,0.009765625,0.0419921875,0.0107421875,0.0
52,53248,0.0009765625,1.03125,-0.05146561935544014,-0.04159845784306526,0.006193895824253559,1.2964110374450684,0.22320495545864105,0.0166015625,0.0458984375,0.013671875,0.0
53,54272,0.001171874813735485,1.03125,-0.07366114109754562,-0.06372632831335068,0.005896986462175846,1.2883305549621582,0.20601877570152283,0.01171875,0.02734375,0.009765625,0.0
54,55296,-0.0011718750465661287,1.015625,-0.06456128507852554,-0.0537043958902359,0.0038539269007742405,1.2783851623535156,0.28823113441467285,0.0068359375,0.0322265625,0.0068359375,0.0
55,56320,0.0019531248835846782,1.03125,-0.03511751443147659,-0.02450694516301155,0.004096600227057934,1.2658867835998535,0.12017274647951126,0.009765625,0.013671875,0.0078125,0.0
56,57344,0.0021484375465661287,1.09375,-0.024544136598706245,-0.01522286981344223,0.006486300379037857,1.2564417123794556,0.2715609669685364,0.0126953125,0.0263671875,0.0078125,0.0
57,58368,0.0012695312034338713,1.0,-0.046509161591529846,-0.036022014915943146,0.004185870289802551,1.258008360862732,0.16301771998405457,0.0107421875,0.013671875,0.013671875,0.0
58,59392,0.0002929687616415322,1.03125,-0.06760509312152863,-0.05697425827383995,0.0036041531711816788,1.2432912588119507,0.18069379031658173,0.0068359375,0.021484375,0.0048828125,0.0
59,60416,0.00048828116268850863,1.0625,-0.020555611699819565,-0.009956799447536469,0.0036312055308371782,1.2414414882659912,0.16251125931739807,0.0068359375,0.01953125,0.0048828125,0.0
60,61440,0.0036132812965661287,1.0625,-0.017276866361498833,-0.007961448282003403,0.00617596972733736,1.2403403520584106,0.12545907497406006,0.0146484375,0.01171875,0.0126953125,0.0
61,62464,0.0016601562965661287,1.03125,-0.03254243731498718,-0.022566821426153183,0.004620360676199198,1.2285797595977783,0.24118849635124207,0.01171875,0.0166015625,0.0126953125,0.0
62,63488,0.0015625000232830644,1.03125,-0.04082981497049332,-0.030434805899858475,0.0036731141153723,1.223156452178955,0.17808552086353302,0.009765625,0.013671875,0.009765625,0.0
63,64512,0.003320312360301614,1.0625,0.01709797978401184,0.027157563716173172,0.004312841221690178,1.2216005325317383,0.12843358516693115,0.01171875,0.005859375,0.009765625,0.0
64,65536,0.0010742187732830644,1.015625,-0.01880202814936638,-0.007843408733606339,0.002512684091925621,1.2214961051940918,0.2335447371006012,0.0078125,0.0087890625,0.009765625,0.0
