update,transitions,mean_reward,mean_length,loss,policy_loss,value_loss,entropy,gradient_norm,fruit_rate,wall_rate,self_bite_rate,win_rate
1,1024,-0.01279296912252903,1.078125,0.010717428289353848,-1.819618046283722e-05,0.04919710010290146,1.386292576789856,0.5955073237419128,0.0126953125,0.17578125,0.0078125,0.0
2,2048,-0.01132812537252903,1.109375,0.0007956447079777718,-9.931623935699463e-06,0.029336586594581604,1.3862717151641846,0.36626070737838745,0.0185546875,0.1748046875,0.015625,0.0
3,3072,-0.01142578199505806,1.109375,-0.005270339548587799,-0.0006434917449951172,0.018471524119377136,1.386260986328125,0.16076168417930603,0.021484375,0.1806640625,0.0205078125,0.0
4,4096,-0.01826171949505806,1.046875,-0.005294150672852993,0.0003288388252258301,0.016478214412927628,1.3862097263336182,0.1631079614162445,0.0126953125,0.216796875,0.0146484375,0.0
5,5120,-0.01669921912252903,1.09375,-0.004104180261492729,5.4892152547836304e-05,0.0194053053855896,1.3861725330352783,0.23184536397457123,0.0126953125,0.2109375,0.009765625,0.0
6,6144,-0.012402343563735485,1.078125,-0.0028571542352437973,0.0001841709017753601,0.021640198305249214,1.3861424922943115,0.21515631675720215,0.01953125,0.1865234375,0.017578125,0.0
7,7168,-0.01591796986758709,1.046875,-0.0019332729279994965,-0.0006682239472866058,0.025192327797412872,1.3861212730407715,0.2738474905490875,0.0166015625,0.20703125,0.017578125,0.0
8,8192,-0.0107421875,1.078125,-0.005648395977914333,-0.0006361715495586395,0.017697390168905258,1.386091947555542,0.1793205738067627,0.0205078125,0.1787109375,0.015625,0.0
9,9216,-0.01298828236758709,1.09375,-0.005111142992973328,-0.0011747442185878754,0.019848167896270752,1.3860483169555664,0.21725648641586304,0.021484375,0.1982421875,0.01953125,0.0
10,10240,-0.01406250149011612,1.09375,-0.007151156663894653,-0.0003081783652305603,0.014033712446689606,1.3859834671020508,0.12458685785531998,0.0234375,0.216796875,0.0205078125,0.0
11,11264,-0.013671875,1.078125,-0.00835607573390007,-0.0010897442698478699,0.01318571250885725,1.3859187364578247,0.06692826002836227,0.01953125,0.19921875,0.017578125,0.0
12,12288,-0.01406249962747097,1.125,-0.005883657373487949,0.0008439049124717712,0.014261719770729542,1.385842204093933,0.06995553523302078,0.015625,0.193359375,0.0126953125,0.0
13,13312,-0.01738281175494194,1.078125,-0.003452552482485771,0.0014731064438819885,0.01786445826292038,1.3857887983322144,0.11896708607673645,0.017578125,0.224609375,0.0185546875,0.0
14,14336,-0.01396484486758709,1.0625,-0.0074048954993486404,-0.0002705063670873642,0.013446679338812828,1.385772943496704,0.0964292660355568,0.015625,0.1865234375,0.015625,0.0
15,15360,-0.01171875,1.09375,-0.008385293185710907,-0.0013364441692829132,0.013617541640996933,1.3857619762420654,0.13117708265781403,0.0185546875,0.1767578125,0.0166015625,0.0
16,16384,-0.01484374888241291,1.09375,-0.008740296587347984,-0.001393541693687439,0.013021492399275303,1.3857500553131104,0.152845099568367,0.0185546875,0.2060546875,0.017578125,0.0
17,17408,-0.01738281175494194,1.078125,-0.005765588954091072,-0.00028390437364578247,0.016751080751419067,1.3857225179672241,0.11290017515420914,0.0185546875,0.2333984375,0.0166015625,0.0
18,18432,-0.012011718936264515,1.109375,-0.006365053355693817,-0.0009051673114299774,0.016794420778751373,1.3857096433639526,0.12631629407405853,0.0205078125,0.1875,0.017578125,0.0
19,19456,-0.01699218899011612,1.046875,-0.006820399314165115,-9.687244892120361e-05,0.014266449958086014,1.3856751918792725,0.08749712258577347,0.013671875,0.208984375,0.0146484375,0.0
20,20480,-0.014355470426380634,1.015625,-0.005472535267472267,0.002508595585823059,0.011751454323530197,1.3856858015060425,0.1341191530227661,0.01171875,0.1767578125,0.0126953125,0.0
21,21504,-0.01621093973517418,1.03125,-0.00638155359774828,0.002039670944213867,0.010871998965740204,1.3857223987579346,0.12422937899827957,0.0126953125,0.2041015625,0.0107421875,0.0
22,22528,-0.01542968861758709,1.015625,-0.007468512747436762,0.0006148368120193481,0.011548967100679874,1.385783314704895,0.09803608059883118,0.0185546875,0.2080078125,0.01953125,0.0
23,23552,-0.01542968861758709,1.015625,-0.0117948018014431,-0.002424469217658043,0.008976605720818043,1.3858635425567627,0.06345918029546738,0.0126953125,0.1923828125,0.0126953125,0.0
24,24576,-0.012402343563735485,1.078125,-0.010807705111801624,-0.0010994374752044678,0.00830145925283432,1.3858997821807861,0.0524742417037487,0.0146484375,0.17578125,0.0107421875,0.0
25,25600,-0.01699218712747097,1.03125,-0.009631763212382793,-0.00047629978507757187,0.009407566860318184,1.3859246969223022,0.0983906090259552,0.0126953125,0.2060546875,0.013671875,0.0
26,26624,-0.015527344308793545,1.0625,-0.005913129076361656,0.0009334459900856018,0.014026118442416191,1.3859634399414062,0.1142568290233612,0.017578125,0.2119140625,0.015625,0.0
27,27648,-0.014941406436264515,1.03125,-0.00947276409715414,-0.00216798298060894,0.013110777363181114,1.3860169649124146,0.08621200174093246,0.0166015625,0.197265625,0.017578125,0.0
28,28672,-0.01123046875,1.109375,-0.009423726238310337,-0.00235767662525177,0.013588976114988327,1.3860538005828857,0.08465132117271423,0.0224609375,0.189453125,0.017578125,0.0
29,29696,-0.01259765587747097,1.03125,-0.010417750105261803,-0.0020017586648464203,0.010889310389757156,1.3860646486282349,0.06736552715301514,0.0166015625,0.16796875,0.0205078125,0.0
30,30720,-0.01835937425494194,1.015625,-0.011476937681436539,-0.0029283203184604645,0.010624095797538757,1.3860665559768677,0.09625250101089478,0.013671875,0.224609375,0.013671875,0.0
31,31744,-0.01259765587747097,1.0625,-0.009345266968011856,-0.0013045519590377808,0.011639527976512909,1.3860479593276978,0.06780361384153366,0.0166015625,0.18359375,0.0126953125,0.0
32,32768,-0.015429687686264515,1.078125,-0.009577210992574692,-0.0017321351915597916,0.012030619196593761,1.3860386610031128,0.0478363111615181,0.0126953125,0.1943359375,0.01171875,0.0
33,33792,-0.01484375074505806,1.0625,-0.01135338842868805,-0.0028616245836019516,0.010737215168774128,1.3860371112823486,0.06732489913702011,0.017578125,0.201171875,0.017578125,0.0
34,34816,-0.013476562686264515,1.03125,-0.010430698283016682,-0.0020372718572616577,0.010933667421340942,1.3860260248184204,0.09938815981149673,0.0185546875,0.1904296875,0.0185546875,0.0
35,35840,-0.01601562649011612,1.09375,-0.008243471384048462,-0.002016402781009674,0.01526615209877491,1.386014461517334,0.06957631558179855,0.0185546875,0.2236328125,0.0146484375,0.0
36,36864,-0.01601562649011612,1.03125,-0.010493328794836998,-0.0027107447385787964,0.012155021540820599,1.3860094547271729,0.049664970487356186,0.0146484375,0.2041015625,0.0146484375,0.0
37,37888,-0.01162109524011612,1.078125,-0.010711820796132088,-0.003024257719516754,0.01234483439475298,1.385998010635376,0.12705585360527039,0.0185546875,0.1796875,0.0146484375,0.0
38,38912,-0.01513671875,1.0625,-0.010898326523602009,-0.004120863974094391,0.0141645148396492,1.385972023010254,0.08804471790790558,0.017578125,0.2060546875,0.0166015625,0.0
39,39936,-0.0166015625,1.015625,-0.013321509584784508,-0.003906292840838432,0.00888839177787304,1.3859412670135498,0.05191975086927414,0.0107421875,0.1962890625,0.01171875,0.0
40,40960,-0.01523437537252903,1.03125,-0.014006953686475754,-0.004987344145774841,0.009678779169917107,1.3858999013900757,0.07118578255176544,0.0146484375,0.2001953125,0.0126953125,0.0
41,41984,-0.01572265662252903,1.03125,-0.012553952634334564,-0.0033346330747008324,0.009278290905058384,1.3858466148376465,0.11090414226055145,0.0126953125,0.1953125,0.0126953125,0.0
42,43008,-0.01708984375,1.0625,-0.015982432290911674,-0.0057821497321128845,0.007315150462090969,1.3857858180999756,0.0732467994093895,0.013671875,0.2158203125,0.01171875,0.0
43,44032,-0.012109375558793545,1.078125,-0.012369007803499699,-0.004246741533279419,0.011469472199678421,1.3857002258300781,0.06365793198347092,0.01953125,0.18359375,0.017578125,0.0
44,45056,-0.010644531808793545,1.046875,-0.011819811537861824,-0.00454321876168251,0.013158513233065605,1.3855849504470825,0.06212202087044716,0.0185546875,0.169921875,0.0146484375,0.0
45,46080,-0.011621094308793545,1.046875,-0.013101684860885143,-0.0047922804951667786,0.011090999469161034,1.3854904174804688,0.047349173575639725,0.0205078125,0.181640625,0.0185546875,0.0
46,47104,-0.012988281436264515,1.078125,-0.007312001660466194,-0.0017314013093709946,0.016547664999961853,1.3854433298110962,0.13112355768680573,0.0205078125,0.19921875,0.0166015625,0.0
47,48128,-0.01503906399011612,1.125,-0.01257964875549078,-0.004929818212985992,0.012407863512635231,1.385376214981079,0.10563129186630249,0.015625,0.208984375,0.009765625,0.0
48,49152,-0.01494140550494194,1.0625,-0.01125798188149929,-0.004605581983923912,0.014402966015040874,1.3853883743286133,0.11624426394701004,0.0244140625,0.21875,0.0263671875,0.0
49,50176,-0.01552734337747097,1.046875,-0.011958753690123558,-0.005000311881303787,0.01379095483571291,1.3853919506072998,0.06671605259180069,0.0146484375,0.201171875,0.013671875,0.0
50,51200,-0.013671875931322575,1.0625,-0.015449912287294865,-0.0070587508380413055,0.01092587225139141,1.3854098320007324,0.06563175469636917,0.0146484375,0.1845703125,0.0126953125,0.0
51,52224,-0.013964843936264515,1.09375,-0.014890938997268677,-0.007547540590167046,0.013020659796893597,1.3853728771209717,0.10915027558803558,0.0126953125,0.181640625,0.0107421875,0.0
52,53248,-0.01328125037252903,1.046875,-0.01609606295824051,-0.008679669350385666,0.01287136971950531,1.3852077722549438,0.10472600162029266,0.01953125,0.193359375,0.0185546875,0.0
53,54272,-0.01416015625,1.0625,-0.015092387795448303,-0.008031472563743591,0.013578860089182854,1.3850345611572266,0.12876516580581665,0.0185546875,0.203125,0.015625,0.0
54,55296,-0.00937500037252903,1.078125,-0.014380855485796928,-0.006369844079017639,0.011672670021653175,1.3847346305847168,0.11392371356487274,0.0205078125,0.1611328125,0.017578125,0.0
55,56320,-0.01191406324505806,1.078125,-0.014291195198893547,-0.0069466233253479,0.013001651503145695,1.3845398426055908,0.09387869387865067,0.0224609375,0.1904296875,0.0205078125,0.0
56,57344,-0.01621093787252903,1.015625,-0.01587877981364727,-0.00679749995470047,0.0095205157995224,1.3841538429260254,0.08897295594215393,0.0146484375,0.1982421875,0.0185546875,0.0
57,58368,-0.00986328162252903,1.046875,-0.017171090468764305,-0.008581480011343956,0.01049906574189663,1.3839143514633179,0.09850503504276276,0.021484375,0.1669921875,0.01953125,0.0
58,59392,-0.013867187313735485,1.015625,-0.013535268604755402,-0.007169395685195923,0.014942090958356857,1.3836919069290161,0.13437677919864655,0.017578125,0.1953125,0.015625,0.0
59,60416,-0.01777343824505806,1.046875,-0.017952285706996918,-0.008523923344910145,0.008817817084491253,1.3837271928787231,0.14972661435604095,0.0078125,0.205078125,0.005859375,0.0
60,61440,-0.01123046875,1.03125,-0.017709050327539444,-0.009312279522418976,0.010881910100579262,1.383772611618042,0.15488439798355103,0.013671875,0.1533203125,0.013671875,0.0
61,62464,-0.01523437537252903,1.046875,-0.02119426056742668,-0.01272796094417572,0.01074476819485426,1.3838684558868408,0.1883687674999237,0.0126953125,0.1943359375,0.0107421875,0.0
62,63488,-0.014355468563735485,1.078125,-0.017216188833117485,-0.009479150176048279,0.01219932921230793,1.3836703300476074,0.1622287482023239,0.0185546875,0.205078125,0.015625,0.0
63,64512,-0.01113281212747097,1.0625,-0.02180701494216919,-0.014075549319386482,0.01220814697444439,1.3835539817810059,0.11231016367673874,0.021484375,0.17578125,0.021484375,0.0
64,65536,-0.008203125558793545,1.109375,-0.023015737533569336,-0.014765255153179169,0.0111685860902071,1.3834776878356934,0.1090320497751236,0.021484375,0.154296875,0.017578125,0.0
65,66560,-0.010156250558793545,1.15625,-0.023134957998991013,-0.015985973179340363,0.013362875208258629,1.383042335510254,0.1599607765674591,0.0224609375,0.1787109375,0.017578125,0.0
66,67584,-0.011523437686264515,1.125,-0.024345362558960915,-0.015958145260810852,0.01087452843785286,1.3824481964111328,0.08134536445140839,0.021484375,0.177734375,0.0224609375,0.0
67,68608,-0.010644531808793545,1.078125,-0.019987167790532112,-0.011013031005859375,0.009688382968306541,1.3818328380584717,0.09770077466964722,0.01953125,0.1630859375,0.0205078125,0.0
68,69632,-0.012500000186264515,1.03125,-0.021412808448076248,-0.012085888534784317,0.008967073634266853,1.3810455799102783,0.1773083508014679,0.0166015625,0.1708984375,0.0185546875,0.0
69,70656,-0.011914062313735485,1.015625,-0.022792119532823563,-0.013238761574029922,0.008508695289492607,1.3807706832885742,0.14056643843650818,0.0166015625,0.1689453125,0.0166015625,0.0
70,71680,-0.01230468787252903,1.03125,-0.019096415489912033,-0.010495307855308056,0.010413587093353271,1.3807902336120605,0.21491701900959015,0.0166015625,0.1767578125,0.0146484375,0.0
71,72704,-0.01171875,1.0625,-0.02065424807369709,-0.01277301087975502,0.01184956356883049,1.3806018829345703,0.19162659347057343,0.017578125,0.17578125,0.0146484375,0.0
72,73728,-0.009082031436264515,1.140625,-0.01835048571228981,-0.011790423654019833,0.014500824734568596,1.3810473680496216,0.26440516114234924,0.0224609375,0.171875,0.015625,0.0
73,74752,-0.01132812537252903,1.078125,-0.03177647665143013,-0.024819977581501007,0.013708792626857758,1.381089448928833,0.10708711296319962,0.021484375,0.1796875,0.0205078125,0.0
74,75776,-0.013867187313735485,1.0625,-0.04008802771568298,-0.030816465616226196,0.009069344028830528,1.3806235790252686,0.14264392852783203,0.013671875,0.177734375,0.0146484375,0.0
75,76800,-0.01171875,1.0625,-0.03085584193468094,-0.022849544882774353,0.01159397792071104,1.38032865524292,0.18212595582008362,0.0205078125,0.1787109375,0.0205078125,0.0
76,77824,-0.01230468787252903,1.03125,-0.03532324358820915,-0.025070741772651672,0.0070992885157465935,1.3802145719528198,0.18898677825927734,0.0126953125,0.1591796875,0.013671875,0.0
77,78848,-0.00996093824505806,1.0625,-0.028863264247775078,-0.020435020327568054,0.010729172267019749,1.3792829513549805,0.21632304787635803,0.0146484375,0.1474609375,0.0126953125,0.0
78,79872,-0.0078125,1.0625,-0.03011583909392357,-0.021621301770210266,0.01060394011437893,1.3796508312225342,0.15529942512512207,0.0166015625,0.1318359375,0.0146484375,0.0
79,80896,-0.009667969308793545,1.0625,-0.036800745874643326,-0.030578643083572388,0.01513630524277687,1.3790256977081299,0.15655027329921722,0.0224609375,0.16796875,0.0205078125,0.0
80,81920,-0.00966796837747097,1.0625,-0.04157969728112221,-0.03334611654281616,0.011104593053460121,1.3785877227783203,0.14098519086837769,0.021484375,0.1669921875,0.0185546875,0.0
81,82944,-0.00791015662252903,1.0625,-0.04242686182260513,-0.032803647220134735,0.008333440870046616,1.3789936304092407,0.1618259698152542,0.0185546875,0.134765625,0.0185546875,0.0
82,83968,-0.0087890625,1.046875,-0.043264105916023254,-0.035189513117074966,0.011408967897295952,1.3779078722000122,0.16762679815292358,0.0234375,0.15625,0.0244140625,0.0
83,84992,-0.01054687425494194,1.078125,-0.041779808700084686,-0.033329255878925323,0.010652611032128334,1.3776859045028687,0.19817572832107544,0.0185546875,0.1689453125,0.0146484375,0.0
84,86016,-0.01025390625,1.09375,-0.04812251776456833,-0.03869915008544922,0.008685784414410591,1.3766257762908936,0.21805067360401154,0.01171875,0.1396484375,0.0107421875,0.0
85,87040,-0.005859375,1.078125,-0.0441415011882782,-0.036127183586359024,0.011504271067678928,1.3766453266143799,0.1428597867488861,0.0224609375,0.1279296875,0.021484375,0.0
86,88064,-0.00898437574505806,1.046875,-0.05075950548052788,-0.040618762373924255,0.007227712776511908,1.3754600286483765,0.22599466145038605,0.01171875,0.123046875,0.0126953125,0.0
87,89088,-0.005468749441206455,1.09375,-0.04760831221938133,-0.040433675050735474,0.013108599931001663,1.3728936910629272,0.2215544432401657,0.0263671875,0.1396484375,0.0234375,0.0
88,90112,-0.012109375558793545,1.03125,-0.046675071120262146,-0.03709902986884117,0.008255751803517342,1.370391607284546,0.2859276831150055,0.01171875,0.150390625,0.0146484375,0.0
