observation,policy,reward_mean,reward_sd,fruit_rate,wall_rate,self_bite_rate,win_rate,mean_length
full,A2C greedy,0.12194270739518105,0.0033443397603079798,0.27971875,0.01886458333333333,0.08015104166666666,0.0,3.9212239583333335
full,A2C stochastic,0.12431979048003754,0.00027853008283902365,0.28262499999999996,0.0013958333333333333,0.08426562500000001,0.0,3.7504062499999997
full,random,-0.014469791952248975,0.00011850651208183231,0.017302083333333333,0.19954166666666664,0.015833333333333335,0.0,1.0680416666666668
partial,A2C greedy,0.11781927031526962,0.0002962177518405765,0.258265625,0.0,0.056567708333333334,0.0,6.105385416666667
partial,A2C stochastic,0.11787760377364853,0.00017975104764852032,0.2584114583333333,0.00014583333333333335,0.056567708333333334,0.0,6.024583333333333
partial,random,-0.014469791952248975,0.00011850651208183231,0.017302083333333333,0.19954166666666664,0.015833333333333335,0.0,1.0680416666666668
